,area_m2,price_usd,lat,lon,place
582,161,343256.56,-12.985207,-38.456074,Salvador
583,77,109217.99,-12.992462,-38.444553,Salvador
584,161,343256.56,-12.985207,-38.456074,Salvador
585,70,118579.54,-12.852844,-38.32711,Lauro de Freitas
587,95,93615.42,-12.990577,-38.510612,Salvador
588,87,101416.71,-13.000443,-38.45739,Salvador
589,110,140423.14,-13.0093147,-38.5237408,Salvador
590,170,296448.85,-12.985207,-38.456074,Salvador
591,90,262123.19,-13.000443,-38.45739,Salvador
592,170,296448.85,-12.985207,-38.456074,Salvador
593,90,262123.19,-13.000443,-38.45739,Salvador
594,194,452474.56,-12.998506,-38.52309,Salvador
595,113,104537.22,-12.9903761,-38.4468721,Salvador
596,194,452474.56,-12.998506,-38.52309,Salvador
597,105,171628.28,-12.993889,-38.479481,Salvador
598,99,258475.31,-12.992472,-38.52298,Salvador
599,100,273625.41,-12.992472,-38.52298,Salvador
600,69,93615.42,-13.001087,-38.4919634,Salvador
601,80,146664.17,-13.000443,-38.45739,Salvador
602,230,234038.56,-12.992472,-38.52298,Salvador
603,76,118579.54,-12.974941,-38.440117,Salvador
604,80,146664.17,-13.000443,-38.45739,Salvador
605,230,234038.56,-12.992472,-38.52298,Salvador
606,76,118579.54,-12.974941,-38.440117,Salvador
607,125,105161.33,-12.9467146,-38.374547,Salvador
608,119,202833.42,-12.9994819,-38.4560755,Salvador
609,110,180989.82,-12.9994819,-38.4560755,Salvador
610,85,93303.37,-13.0132556,-38.4839945,Salvador
612,137,215315.48,-13.000443,-38.45739,Salvador
614,68,93615.42,-12.992462,-38.444553,Salvador
615,137,215315.48,-13.000443,-38.45739,Salvador
616,120,180989.82,-12.985207,-38.456074,Salvador
617,70,109217.99,-13.000443,-38.45739,Salvador
619,80,137302.62,-13.003813,-38.528656,Salvador
620,70,109217.99,-13.000443,-38.45739,Salvador
622,83,140458.3,-12.9798238,-38.4573653,Salvador
623,72,84253.88,-16.403285,-39.053897,Porto Seguro
625,155,360747.98,-12.964468,-38.417938,Salvador
626,80,115459.02,-12.998506,-38.52309,Salvador
627,89,152905.19,-13.000443,-38.45739,Salvador
628,107,156025.71,-12.98223,-38.43898,Salvador
629,89,152905.19,-13.000443,-38.45739,Salvador
630,107,156025.71,-12.98223,-38.43898,Salvador
631,58,84253.88,-14.770444,-39.061959,Ilhéus
632,58,74892.34,-14.822861,-39.026809,Ilhéus
633,105,106097.48,-13.0089806,-38.4958405,Salvador
634,134,358235.03,-12.992472,-38.52298,Salvador
635,134,358375.46,-12.992472,-38.52298,Salvador
636,134,358375.46,-12.992472,-38.52298,Salvador
637,134,356590.52,-12.992472,-38.52298,Salvador
638,134,366451.35,-12.992472,-38.52298,Salvador
639,125,248080.88,-12.993305,-38.45739,Salvador
640,110,134182.11,-12.985207,-38.456074,Salvador
641,80,112338.51,-12.971983,-38.435127,Salvador
642,125,248080.88,-12.993305,-38.45739,Salvador
643,110,134182.11,-12.985207,-38.456074,Salvador
644,80,112338.51,-12.971983,-38.435127,Salvador
645,59,85814.14,-12.973127,-38.434219,Salvador
646,97,102976.97,-12.971983,-38.435127,Salvador
648,97,102976.97,-12.971983,-38.435127,Salvador
